Player ID,Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (PDT)
*02c4q*,4,10,58,SP,Nick Martinez,TB,LB,Mar 14, 2026 12:02:57
*041ah*,4,11,59,OF,Josh Lowe,LAA,JLIU,Mar 14, 2026 12:58:33
*05u3v*,4,12,60,OF,Walker Jenkins,MIN,JH,Mar 14, 2026 1:00:29
*067yn*,4,13,61,SP,Seth Hernandez,PIT,WGMO,Mar 14, 2026 3:44:56
*05g4k*,4,14,62,SP,Mick Abel,MIN,PAN,Mar 14, 2026 5:36:00
*04s1g*,4,15,63,C,Gabriel Moreno,ARI,CHIP,Mar 14, 2026 5:55:25
*04nx3*,4,16,64,2B,Jonathan India,KC,GMK,Mar 14, 2026 7:07:56
*05rcf*,5,1,65,OF,Joshua Baez,STL,KLIU,Mar 14, 2026 8:20:51
*06gwk*,5,2,66,RP,Payton Tolle,BOS,TFLA,Mar 14, 2026 8:24:08
*03qjv*,5,3,67,OF,Harrison Bader,SF,TC,Mar 14, 2026 8:52:20
*031fj*,5,4,68,RP,Gabe Speier,SEA,ACP,Mar 14, 2026 11:52:24
*045kb*,5,5,69,SP,Cristian Javier,HOU,DAVE,Mar 15, 2026 8:21:26
*066er*,5,6,70,RP,Grant Taylor,CHW,MLAM,Mar 15, 2026 9:19:06
*04em6*,5,7,71,RP,Will Vest,DET,CLIU,Mar 15, 2026 10:22:36
*05xpj*,5,8,72,SP,Tanner McDougal,CHW,JAGO,Mar 15, 2026 10:39:25
*06elo*,5,9,73,RP,Matt Svanson,STL,JTTA,Mar 15, 2026 10:42:36
*04pmw*,5,10,74,OF,Alek Thomas,ARI,LB,Mar 15, 2026 10:43:46
*04674*,5,11,75,SP,Johan Oviedo,BOS,JLIU,Mar 15, 2026 12:01:32
*05raw*,5,12,76,C,Harry Ford,WSH,JH,Mar 15, 2026 12:16:07
*02i37*,5,13,77,SP,Lucas Giolito,(N/A),WGMO,Mar 15, 2026 3:16:18
*0662o*,5,14,78,SS,Sebastian Walcott,TEX,PAN,Mar 15, 2026 5:30:48
*05u36*,5,15,79,SS,Aidan Miller,PHI,CHIP,Mar 15, 2026 5:34:33
*04yig*,5,16,80,SS,Brooks Lee,MIN,GMK,Mar 15, 2026 8:34:40
*05138*,6,1,81,RP,Matt Brash,SEA,KLIU,Mar 15, 2026 8:59:14
*04ya4*,6,2,82,SS,Nasim Nunez,WSH,TFLA,Mar 15, 2026 11:03:02
*03poq*,6,3,83,RP,Tony Santillan,CIN,TC,Mar 15, 2026 11:14:28
*05yb0*,6,4,84,1B,T.J. Rumfield,COL,ACP,Mar 15, 2026 11:14:41
*041q8*,6,5,85,OF,Brandon Marsh,PHI,DAVE,Mar 16, 2026 6:26:30
*0406v*,6,6,86,OF,Esteury Ruiz,MIA,MLAM,Mar 16, 2026 9:11:35
*04mlr*,6,7,87,SP,Jeffrey Springs,ATH,CLIU,Mar 16, 2026 9:37:16
*03ab0*,6,8,88,SP,Luis Severino,ATH,JAGO,Mar 16, 2026 9:56:25
*04pr8*,6,9,89,SP,Taj Bradley,MIN,JTTA,Mar 16, 2026 10:49:14
*03aqw*,6,10,90,OF,Mauricio Dubon,ATL,LB,Mar 16, 2026 10:56:28
*04ai4*,6,11,91,3B,Nolan Gorman,STL,JLIU,Mar 16, 2026 12:22:44
*05y0j*,6,12,92,SP,Spencer Arrighetti,HOU,JH,Mar 16, 2026 12:24:31
*05tzo*,6,13,93,SP,J.R. Ritchie,ATL,WGMO,Mar 16, 2026 12:33:39
*03dfa*,6,14,94,RP,Tanner Scott,LAD,PAN,Mar 16, 2026 12:38:03
*04naz*,6,15,95,RP,Tyler Holton,DET,CHIP,Mar 16, 2026 12:40:56
*03pix*,6,16,96,C,Tyler Stephenson,CIN,GMK,Mar 16, 2026 2:43:02
*070bf*,7,1,97,3B,Sung Mun Song,SD,KLIU,Mar 16, 2026 2:48:04
*041rj*,7,2,98,RP,JoJo Romero,STL,TFLA,Mar 16, 2026 2:50:11
*0473m*,7,3,99,3B,Zach McKinstry,DET,TC,Mar 16, 2026 3:19:55
*04eej*,7,4,100,OF,Gavin Sheets,SD,ACP,Mar 16, 2026 5:44:22
*03nru*,7,5,101,OF,Jesus Sanchez,TOR,DAVE,Mar 16, 2026 7:17:48
*05gbf*,7,6,102,OF,Jordan Walker,STL,MLAM,Mar 16, 2026 9:57:02
*06dlz*,7,7,103,OF,Ryan Waldschmidt,ARI,CLIU,Mar 16, 2026 10:35:07
*05t9g*,7,8,104,SP,Gage Jump,ATH,JAGO,Mar 17, 2026 7:52:36
*060la*,7,9,105,SS,Jett Williams,MIL,JTTA,Mar 17, 2026 9:32:31
*06luc*,7,10,106,RP,Jack Dreyer,LAD,LB,Mar 17, 2026 9:34:40
*01ucb*,7,11,107,RP,Drew Pomeranz,LAA,JLIU,Mar 17, 2026 9:37:20
*060eu*,7,12,108,RP,Ben Joyce,LAA,JH,Mar 17, 2026 9:37:34
*05uv5*,7,13,109,1B,Abimelec Ortiz,WSH,WGMO,Mar 17, 2026 10:01:39
*041yb*,7,14,110,SP,Dean Kremer,BAL,MLAM,Mar 17, 2026 1:01:42,PAN
*0516n*,7,15,111,OF,Isaac Collins,KC,CHIP,Mar 17, 2026 1:11:48
*04azu*,7,16,112,SP,Kumar Rocker,TEX,GMK,Mar 17, 2026 1:13:49
