Player ID,Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (PDT)
*06aqv*,6,3,83,WR,Rashee Rice,KC,DAVE,Aug 8, 2024 8:41:09
*060tw*,6,4,84,WR,Jayden Reed,GB,LB,Aug 8, 2024 8:43:15
*060tq*,6,5,85,QB,Jayden Daniels,WAS,JLIU,Aug 8, 2024 10:26:13
*0614z*,6,6,86,RB,Jaylen Warren,PIT,TC,Aug 8, 2024 10:38:56
*060tt*,6,7,87,QB,Brock Purdy,SF,PAN,Aug 8, 2024 11:01:35
*05guo*,6,8,88,RB,Zack Moss,CIN,ACP,Aug 8, 2024 11:02:17
*06jes*,6,9,89,RB,Trey Benson,ARI,JAGO,Aug 8, 2024 11:11:48
*04yp8*,6,10,90,RB,Devin Singletary,NYG,TFLA,Aug 8, 2024 11:48:00
*04yne*,6,11,91,TE,T.J. Hockenson,MIN,WGMO,Aug 8, 2024 11:50:28
*06jee*,6,12,92,WR,Xavier Worthy,KC,GMK,Aug 8, 2024 11:53:52
*04yno*,6,13,93,WR,Marquise Brown,KC,MLAM,Aug 8, 2024 1:31:10
*06avv*,6,14,94,RB,Tyjae Spears,TEN,CLIU,Aug 8, 2024 2:33:57
*060r4*,6,15,95,RB,Brian Robinson Jr.,WAS,JTTA,Aug 8, 2024 3:07:34
*04can*,6,16,96,TE,David Njoku,CLE,KLIU,Aug 8, 2024 3:50:37
*05rmz*,7,1,97,RB,Javonte Williams,DEN,KLIU,Aug 8, 2024 3:59:30
*02ztv*,7,2,98,WR,Keenan Allen,CHI,JTTA,Aug 8, 2024 4:04:43
*04mo8*,7,3,99,WR,Calvin Ridley,TEN,CLIU,Aug 8, 2024 4:46:41
*06aqy*,7,4,100,RB,Chase Brown,CIN,MLAM,Aug 8, 2024 6:31:33
*048vk*,7,5,101,RB,Nick Chubb,CLE,GMK,Aug 8, 2024 6:31:39
*06je7*,7,6,102,WR,Keon Coleman,BUF,WGMO,Aug 8, 2024 7:05:15
*06an9*,7,7,103,WR,Jaxon Smith-Njigba,SEA,TFLA,Aug 8, 2024 7:48:16
*05rlt*,7,8,104,QB,Trevor Lawrence,JAX,JAGO,Aug 8, 2024 8:00:30
*04cl4*,7,9,105,RB,Austin Ekeler,WAS,ACP,Aug 8, 2024 8:10:11
*04ze8*,7,10,106,WR,Diontae Johnson,CAR,PAN,Aug 8, 2024 8:52:33
*060kg*,7,11,107,WR,Jameson Williams,DET,TC,Aug 8, 2024 9:22:09
*03oqz*,7,12,108,RB,Raheem Mostert,MIA,JLIU,Aug 8, 2024 10:38:27
*06jef*,7,13,109,WR,Ladd McConkey,LAC,LB,Aug 9, 2024 8:12:22
*060kh*,7,14,110,WR,Christian Watson,GB,DAVE,Aug 9, 2024 8:25:38
*04moc*,7,15,111,WR,Courtland Sutton,DEN,JH,Aug 9, 2024 8:30:48
*06aoz*,7,16,112,RB,Zach Charbonnet,SEA,CHIP,Aug 9, 2024 8:47:29
*060rw*,8,1,113,RB,Jerome Ford,CLE,CHIP,Aug 9, 2024 8:47:40
*04orp*,8,2,114,RB,Gus Edwards,LAC,JH,Aug 9, 2024 8:47:54
*03oiv*,8,3,115,WR,Tyler Lockett,SEA,DAVE,Aug 9, 2024 9:00:40
*05gua*,8,4,116,RB,J.K. Dobbins,LAC,LB,Aug 9, 2024 9:08:01
*06jf9*,8,5,117,RB,Jaylen Wright,MIA,JLIU,Aug 9, 2024 10:17:34
*05rn2*,8,6,118,TE,Pat Freiermuth,PIT,TC,Aug 9, 2024 10:27:09
*06je3*,8,7,119,WR,Brian Thomas,JAX,PAN,Aug 9, 2024 10:40:23
*04mpo*,8,8,120,TE,Dalton Schultz,HOU,ACP,Aug 9, 2024 10:44:50
*060sb*,8,9,121,WR,Romeo Doubs,GB,JAGO,Aug 9, 2024 10:58:55
*060s7*,8,10,122,RB,Ty Chandler,MIN,TFLA,Aug 9, 2024 11:04:34
*06jel*,8,11,123,RB,Blake Corum,LAR,WGMO,Aug 9, 2024 11:15:41
*05guc*,8,12,124,TE,Cole Kmet,CHI,GMK,Aug 9, 2024 12:39:38
*04cc0*,8,13,125,WR,Curtis Samuel,BUF,MLAM,Aug 9, 2024 1:58:20
*05gvp*,8,14,126,QB,Tua Tagovailoa,MIA,CLIU,Aug 9, 2024 2:16:28
*03wr9*,8,15,127,RB,Ezekiel Elliott,DAL,JTTA,Aug 9, 2024 3:12:37
*04zf3*,8,16,128,WR,Jakobi Meyers,LV,KLIU,Aug 9, 2024 3:13:38
*060ts*,9,1,129,QB,Bo Nix,DEN,KLIU,Aug 9, 2024 3:16:34
*04mpp*,9,2,130,TE,Dallas Goedert,PHI,JTTA,Aug 9, 2024 3:25:03
*048vm*,9,3,131,WR,Mike Williams,NYJ,CLIU,Aug 9, 2024 3:33:53
*05jkj*,9,4,132,RB,Rico Dowdle,DAL,MLAM,Aug 9, 2024 6:00:23
*06ap9*,9,5,133,WR,Josh Downs,IND,GMK,Aug 9, 2024 6:13:24
*06je6*,9,6,134,WR,Adonai Mitchell,IND,WGMO,Aug 9, 2024 7:45:12
*06jei*,9,7,135,WR,Ricky Pearsall,SF,TFLA,Aug 9, 2024 8:25:33
*06l67*,9,8,136,TE,Ben Sinnott,WAS,JAGO,Aug 9, 2024 8:36:56
*03wr8*,9,9,137,QB,Jared Goff,DET,ACP,Aug 9, 2024 8:37:05
*06jex*,9,10,138,RB,MarShawn Lloyd,GB,PAN,Aug 9, 2024 9:34:36
*060s2*,9,11,139,WR,Khalil Shakir,BUF,TC,Aug 9, 2024 9:35:09
*06je4*,9,12,140,WR,Xavier Legette,CAR,JLIU,Aug 9, 2024 10:17:41
*06je9*,9,13,141,WR,Ja'Lynn Polk,NE,LB,Aug 9, 2024 11:08:22
*02zsg*,9,14,142,WR,DeAndre Hopkins,TEN,DAVE,Aug 9, 2024 11:59:26
*06ayn*,9,15,143,RB,Tank Bigsby,JAX,JH,Aug 10, 2024 8:29:34
*060ls*,9,16,144,WR,Jahan Dotson,PHI,CHIP,Aug 10, 2024 8:49:54
*06aog*,10,1,145,TE,Luke Musgrave,GB,CHIP,Aug 10, 2024 8:50:07
*05gu0*,10,2,146,WR,Jerry Jeudy,CLE,JH,Aug 10, 2024 8:50:37
*05roy*,10,3,147,RB,Chuba Hubbard,CAR,DAVE,Aug 10, 2024 10:39:26
*02jak*,10,4,148,QB,Kirk Cousins,ATL,LB,Aug 10, 2024 1:39:46
*06jey*,10,5,149,WR,Jermaine Burton,CIN,JLIU,Aug 10, 2024 2:21:36
*06bks*,10,6,150,RB,Jaleel McLaughlin,DEN,TC,Aug 10, 2024 2:25:13
*060rz*,10,7,151,RB,Tyler Allgeier,ATL,PAN,Aug 10, 2024 2:48:41
*06l7s*,10,8,152,RB,Bucky Irving,TB,ACP,Aug 10, 2024 2:50:48
*06jec*,10,9,153,QB,J.J. McCarthy,MIN,JAGO,Aug 10, 2024 2:51:06
*05rni*,10,10,154,WR,Josh Palmer,LAC,TFLA,Aug 10, 2024 5:51:24
*060s4*,10,11,155,TE,Isaiah Likely,BAL,WGMO,Aug 10, 2024 5:57:40
*06jep*,10,12,156,RB,Braelon Allen,NYJ,GMK,Aug 10, 2024 7:08:29
*06l7u*,10,13,157,RB,Ray Davis,BUF,MLAM,Aug 10, 2024 8:03:05
*06anb*,10,14,158,WR,Quentin Johnston,LAC,CLIU,Aug 10, 2024 9:34:53
*06jf2*,10,15,159,WR,Jalen McMillan,TB,JTTA,Aug 10, 2024 11:23:01
*060te*,10,16,160,TE,Cade Otton,TB,KLIU,Aug 10, 2024 11:26:04
*06az2*,11,1,161,RB,Roschon Johnson,CHI,KLIU,Aug 10, 2024 11:29:38
*06jdy*,11,2,162,QB,Drake Maye,NE,JTTA,Aug 11, 2024 8:41:18
*06aom*,11,3,163,RB,Kendre Miller,NO,CLIU,Aug 11, 2024 10:15:47
*06185*,11,4,164,WR,Rashid Shaheed,NO,MLAM,Aug 11, 2024 10:17:14
*048vi*,11,5,165,QB,Deshaun Watson,CLE,GMK,Aug 11, 2024 12:44:37
*06jeo*,11,6,166,WR,Troy Franklin,DEN,WGMO,Aug 11, 2024 3:17:35
*05j8y*,11,7,167,RB,Antonio Gibson,NE,TFLA,Aug 11, 2024 3:56:38
*06ayj*,11,8,168,WR,Marvin Mims,DEN,JAGO,Aug 11, 2024 3:58:18
*06l8p*,11,9,169,RB,Tyrone Tracy,NYG,ACP,Aug 11, 2024 4:10:04
*06amz*,11,10,170,QB,Bryce Young,CAR,PAN,Aug 11, 2024 4:49:32
*06an1*,11,11,171,QB,Will Levis,TEN,TC,Aug 11, 2024 4:55:33
*06ar0*,11,12,172,WR,Dontayvion Wicks,GB,JLIU,Aug 11, 2024 5:32:45
*06ayr*,11,13,173,WR,Michael Wilson,ARI,LB,Aug 11, 2024 5:35:46
*05rrg*,11,14,174,RB,Khalil Herbert,CHI,DAVE,Aug 11, 2024 6:02:18
*01cdj*,11,15,175,QB,Matthew Stafford,LAR,JH,Aug 11, 2024 6:08:13
*001w1*,11,16,176,QB,Aaron Rodgers,NYJ,CHIP,Aug 11, 2024 7:20:16
*04cdj*,12,1,177,RB,D'Onta Foreman,CLE,CHIP,Aug 11, 2024 7:20:20
*05jc6*,12,2,178,WR,Gabriel Davis,JAX,JH,Aug 11, 2024 7:30:40
*040ep*,12,3,179,TE,Hunter Henry,NE,DAVE,Aug 11, 2024 7:33:41
*05rqt*,12,4,180,RB,Elijah Mitchell,SF,LB,Aug 11, 2024 7:35:02
*06lb6*,12,5,181,RB,Kimani Vidal,LAC,JLIU,Aug 11, 2024 8:10:05
*05jd5*,12,6,182,WR,Darnell Mooney,ATL,TC,Aug 11, 2024 8:24:03
*06jej*,12,7,183,WR,Roman Wilson,PIT,PAN,Aug 11, 2024 9:11:47
*05rlx*,12,8,184,QB,Justin Fields,PIT,ACP,Aug 11, 2024 9:12:39
*06b0j*,12,9,185,WR,Demario Douglas,NE,JAGO,Aug 11, 2024 9:13:08
*060rr*,12,10,186,RB,Dameon Pierce,HOU,TFLA,Aug 11, 2024 9:39:24
*06bby*,12,11,187,RB,Keaton Mitchell,BAL,WGMO,Aug 11, 2024 9:43:34
*06ann*,12,12,188,TE,Michael Mayer,LV,GMK,Aug 11, 2024 11:20:58
*02j9x*,12,13,189,QB,Russell Wilson,PIT,MLAM,Aug 11, 2024 11:22:06
*04mo7*,12,14,190,QB,Baker Mayfield,TB,CLIU,Aug 12, 2024 6:38:37
*05ilk*,12,15,191,RB,A.J. Dillon,GB,JTTA,Aug 12, 2024 10:31:36
*05rle*,12,16,192,WR,Rashod Bateman,BAL,KLIU,Aug 12, 2024 11:09:25
*04zc9*,13,1,193,RB,Alexander Mattison,LV,KLIU,Aug 12, 2024 11:13:52
*06jer*,13,2,194,RB,Audric Estime,DEN,JTTA,Aug 12, 2024 1:28:15
*030cp*,13,3,195,WR,Adam Thielen,CAR,CLIU,Aug 12, 2024 3:49:35
*06je8*,13,4,196,TE,Ja'Tavion Sanders,CAR,MLAM,Aug 12, 2024 3:58:07
*03cd5*,13,5,197,WR,Brandin Cooks,DAL,GMK,Aug 12, 2024 4:03:14
*06jew*,13,6,198,WR,Malachi Corley,NYJ,WGMO,Aug 12, 2024 6:37:53
*060kj*,13,7,199,WR,Wan'Dale Robinson,NYG,TFLA,Aug 12, 2024 7:16:12
*06jev*,13,8,200,RB,Will Shipley,PHI,JAGO,Aug 12, 2024 7:16:41
*02zss*,13,9,201,QB,Geno Smith,SEA,ACP,Aug 12, 2024 7:17:52
*04crt*,13,10,202,QB,Taysom Hill,NO,PAN,Aug 12, 2024 8:05:50
*0616i*,13,11,203,RB,Jordan Mason,SF,TC,Aug 12, 2024 8:06:34
*06l7d*,13,12,204,TE,Theo Johnson,NYG,JLIU,Aug 12, 2024 8:08:08
*04cek*,13,13,205,RB,Jamaal Williams,NO,LB,Aug 12, 2024 8:14:27
*04ynb*,13,14,206,QB,Daniel Jones,NYG,DAVE,Aug 12, 2024 9:02:23
*04msy*,13,15,207,TE,Tyler Conklin,NYJ,JH,Aug 12, 2024 9:24:01
*060sy*,13,16,208,TE,Chigoziem Okonkwo,TEN,CHIP,Aug 12, 2024 9:38:31
*060rx*,14,1,209,WR,Jalen Tolbert,DAL,CHIP,Aug 12, 2024 9:39:41
*06jea*,14,2,210,QB,Michael Penix Jr.,ATL,JH,Aug 12, 2024 9:41:42
*06l77*,14,3,211,WR,Luke McCaffrey,WAS,DAVE,Aug 12, 2024 10:05:24
*04ynn*,14,4,212,TE,Noah Fant,SEA,LB,Aug 12, 2024 10:06:10
*03cds*,14,5,213,QB,Derek Carr,NO,JLIU,Aug 12, 2024 10:18:02
*060r3*,14,6,214,TE,Greg Dulcich,DEN,TC,Aug 12, 2024 10:20:42
*06l7g*,14,7,215,WR,Javon Baker,(N/A),PAN,Aug 13, 2024 7:08:50
*04cdl*,14,8,216,TE,Jonnu Smith,MIA,ACP,Aug 13, 2024 7:08:51
*05guh*,14,9,217,RB,Clyde Edwards-Helaire,KC,JAGO,Aug 13, 2024 7:22:05
*04yny*,14,10,218,RB,Justice Hill,BAL,TFLA,Aug 13, 2024 8:00:51
*04zfs*,14,11,219,RB,Miles Sanders,CAR,WGMO,Aug 13, 2024 10:19:21
*05rpm*,14,12,220,RB,Kenneth Gainwell,PHI,GMK,Aug 13, 2024 10:34:11
*06asd*,14,13,221,RB,Eric Gray,NYG,MLAM,Aug 13, 2024 11:27:25
*06ap8*,14,14,222,TE,Tucker Kraft,GB,CLIU,Aug 13, 2024 2:12:52
*060k5*,14,15,223,WR,Treylon Burks,TEN,JTTA,Aug 13, 2024 2:45:11
*04zf5*,14,16,224,QB,Gardner Minshew,LV,KLIU,Aug 13, 2024 2:45:52
*05rmw*,15,1,225,WR,Elijah Moore,CLE,KLIU,Aug 13, 2024 2:45:56
*04mqa*,15,2,226,WR,D.J. Chark,LAC,JTTA,Aug 13, 2024 3:03:36
*05roe*,15,3,227,RB,Michael Carter,ARI,CLIU,Aug 13, 2024 4:54:54
*06arw*,15,4,228,WR,A.T. Perry,NO,MLAM,Aug 13, 2024 5:11:18
*06ar2*,15,5,229,QB,Aidan O'Connell,LV,GMK,Aug 13, 2024 5:37:15
*02zsq*,15,6,230,TE,Zach Ertz,WAS,WGMO,Aug 13, 2024 6:46:35
*04mn9*,15,7,231,QB,Sam Darnold,MIN,TFLA,Aug 13, 2024 7:03:37
*040g5*,15,8,232,QB,Jacoby Brissett,NE,JAGO,Aug 13, 2024 7:26:39
*06b58*,15,9,233,RB,Emari Demercado,ARI,ACP,Aug 13, 2024 7:26:39
*040h4*,15,10,234,WR,Demarcus Robinson,LAR,PAN,Aug 13, 2024 8:15:26
*06ao6*,15,11,235,WR,Jonathan Mingo,CAR,TC,Aug 13, 2024 8:32:35
*06lag*,15,12,236,RB,Dylan Laube,LV,JLIU,Aug 13, 2024 8:41:50
*04cpq*,15,13,237,WR,Kendrick Bourne,NE,LB,Aug 13, 2024 8:43:28
*06l7v*,15,14,238,RB,Isaac Guerendo,SF,DAVE,Aug 13, 2024 9:35:13
*04cd7*,15,15,239,RB,Kareem Hunt,(N/A),JH,Aug 13, 2024 9:35:49
*040f2*,15,16,240,WR,Tyler Boyd,TEN,CHIP,Aug 13, 2024 10:38:06
*03oih*,16,1,241,RB,Ameer Abdullah,LV,CHIP,Aug 13, 2024 10:38:17
*04msc*,16,2,242,WR,Ray-Ray McCloud,ATL,JH,Aug 14, 2024 7:09:03
*06ayu*,16,3,243,WR,Tre Tucker,LV,DAVE,Aug 14, 2024 7:12:17
*04zeg*,16,4,244,TE,Dawson Knox,BUF,LB,Aug 14, 2024 7:22:48
*06api*,16,5,245,RB,Chris Rodriguez Jr.,WAS,JLIU,Aug 14, 2024 7:23:49
*060sg*,16,6,246,RB,Pierre Strong Jr.,CLE,TC,Aug 14, 2024 9:12:35
*06b02*,16,7,247,RB,Evan Hull,IND,PAN,Aug 14, 2024 10:03:15
*05ro9*,16,8,248,RB,Trey Sermon,IND,ACP,Aug 14, 2024 10:05:50
*04cbu*,16,9,249,WR,Zay Jones,ARI,JAGO,Aug 14, 2024 10:07:18
*050gh*,16,10,250,WR,Greg Dortch,ARI,TFLA,Aug 14, 2024 10:20:05
*050lv*,16,11,251,RB,Craig Reynolds,DET,WGMO,Aug 14, 2024 11:10:48
*048vn*,16,12,252,WR,JuJu Smith-Schuster,KC,GMK,Aug 14, 2024 11:10:58
*06jf1*,16,13,253,TE,Cade Stover,HOU,MLAM,Aug 14, 2024 11:44:13
*060lm*,16,14,254,QB,Sam Howell,SEA,CLIU,Aug 14, 2024 12:23:51
*06b4a*,16,15,255,RB,Deneric Prince,MIA,JTTA,Aug 14, 2024 1:21:14
*06any*,16,16,256,WR,Jalin Hyatt,NYG,KLIU,Aug 14, 2024 3:09:34
*06aqx*,17,1,257,WR,Andrei Iosivas,CIN,KLIU,Aug 14, 2024 3:10:21
*04cea*,17,2,258,RB,Samaje Perine,KC,JTTA,Aug 14, 2024 5:02:38
*04oq4*,17,3,259,RB,Jeffery Wilson,MIA,CLIU,Aug 14, 2024 6:24:31
*06l8u*,17,4,260,QB,Jordan Travis,NYJ,MLAM,Aug 14, 2024 6:27:16
*06l7x*,17,5,261,TE,Jared Wiley,KC,GMK,Aug 14, 2024 6:33:57
*06laf*,17,6,262,WR,Jordan Whittington,LAR,WGMO,Aug 14, 2024 7:18:14
*05gul*,17,7,263,TE,Colby Parkinson,LAR,TFLA,Aug 14, 2024 7:58:57
*04mpt*,17,8,264,TE,Mike Gesicki,CIN,JAGO,Aug 14, 2024 8:52:13
*04zfx*,17,9,265,WR,Darius Slayton,NYG,ACP,Aug 14, 2024 9:06:11
*05jkv*,17,10,266,TE,Juwan Johnson,NO,PAN,Aug 14, 2024 9:20:22
*060si*,17,11,267,TE,Jelani Woods,IND,TC,Aug 14, 2024 10:24:23
*06jem*,17,12,268,QB,Spencer Rattler,NO,JLIU,Aug 14, 2024 10:42:57
*03ccw*,17,13,269,WR,Odell Beckham,MIA,LB,Aug 15, 2024 8:51:21
*06jez*,17,14,270,WR,Brenden Rice,LAC,DAVE,Aug 15, 2024 8:55:30
*06aoy*,17,15,271,QB,Hendon Hooker,DET,JH,Aug 15, 2024 9:01:49
*040pv*,17,16,272,WR,Kalif Raymond,DET,CHIP,Aug 15, 2024 9:07:34
*06jeu*,18,1,273,WR,Devontez Walker,BAL,CHIP,Aug 15, 2024 9:07:47
*06l8o*,18,2,274,RB,Rasheen Ali,BAL,JH,Aug 15, 2024 9:08:19
*06kz1*,18,3,275,RB,Louis Rees-Zammit,JAX,DAVE,Aug 15, 2024 9:08:25
*060sh*,18,4,276,RB,Kevin Harris,NE,LB,Aug 15, 2024 9:08:58
*06ljp*,18,5,277,RB,Blake Watson,DEN,JLIU,Aug 15, 2024 9:57:31
*06lfi*,18,6,278,RB,Frank Gore Jr.,BUF,TC,Aug 15, 2024 9:59:06
*06jf3*,18,7,279,WR,Malik Washington,MIA,PAN,Aug 15, 2024 10:22:20
*002c4*,18,8,280,RB,Adrian Peterson,(N/A),ACP,Aug 15, 2024 10:31:37
*04yp6*,18,9,281,QB,Jarrett Stidham,DEN,JAGO,Aug 15, 2024 10:40:10
*060sm*,18,10,282,WR,Bo Melton,GB,TFLA,Aug 15, 2024 10:49:09
*06jeg*,18,11,283,WR,Johnny Wilson,PHI,WGMO,Aug 15, 2024 11:02:33
*060m1*,18,12,284,WR,Alec Pierce,IND,GMK,Aug 15, 2024 11:41:09
*06bgh*,18,13,285,RB,Owen Wright,BAL,MLAM,Aug 15, 2024 2:41:26
*04cc7*,18,14,286,TE,Gerald Everett,CHI,CLIU,Aug 15, 2024 5:41:46
*0611u*,18,15,287,WR,Jalen Nailor,MIN,JTTA,Aug 15, 2024 5:42:11
