Player ID,Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (PDT)
*041pz*,2,14,30,1B,Pete Alonso,NYM,JH,Feb 27, 2024 11:29:26
*05aoc*,2,15,31,SP,Eury Perez,MIA,JTTA,Feb 27, 2024 12:44:43
*02611*,2,16,32,SS,Francisco Lindor,NYM,KLIU,Feb 27, 2024 12:45:46
*04q2n*,3,1,33,C,Adley Rutschman,BAL,KLIU,Feb 27, 2024 12:45:56
*041qo*,3,2,34,SP,Zac Gallen,ARI,JTTA,Feb 27, 2024 1:05:39
*04yie*,3,3,35,SP,George Kirby,SEA,JH,Feb 27, 2024 1:14:06
*05r8n*,3,4,36,SP,Yoshinobu Yamamoto,LAD,CHIP,Feb 27, 2024 1:17:35
*03nuc*,3,5,37,SP,Luis Castillo,SEA,CLIU,Feb 27, 2024 1:49:13
*03dbm*,3,6,38,SP,Logan Webb,SF,GMK,Feb 27, 2024 1:49:34
*043f9*,3,7,39,SP,Pablo Lopez,MIN,JAGO,Feb 27, 2024 2:18:53
*041qb*,3,8,40,SS,Bo Bichette,TOR,WGMO,Feb 27, 2024 4:23:31
*05ybv*,3,9,41,SS,Jackson Holliday,BAL,TFLA,Feb 27, 2024 4:44:29
*02bu9*,3,10,42,2B,Marcus Semien,TEX,DAVE,Feb 27, 2024 7:44:40
*060pm*,3,11,43,OF,Wyatt Langford,TEX,JLIU,Feb 27, 2024 7:45:35
*02i3o*,3,12,44,SP,Aaron Nola,PHI,MLAM,Feb 27, 2024 10:32:21
*01sb3*,3,13,45,SP,Zack Wheeler,PHI,PAN,Feb 28, 2024 12:10:00
*02hi7*,3,14,46,SP,Kevin Gausman,TOR,LB,Feb 28, 2024 11:00:10
*04aeb*,3,15,47,3B,Royce Lewis,MIN,TC,Feb 28, 2024 11:11:02
*03120*,3,16,48,1B,Cody Bellinger,CHC,ACP,Feb 28, 2024 2:10:15
*03cag*,4,1,49,OF,Kyle Schwarber,PHI,ACP,Feb 28, 2024 3:44:54
*05mdt*,4,2,50,OF,Evan Carter,TEX,TC,Feb 28, 2024 3:49:37
*024m0*,4,3,51,2B,Jose Altuve,HOU,LB,Feb 28, 2024 3:49:40
*040b5*,4,4,52,OF,Randy Arozarena,TB,PAN,Feb 28, 2024 4:53:34
*04aq4*,4,5,53,OF,Adolis Garcia,TEX,MLAM,Feb 28, 2024 6:28:13
*03zlh*,4,6,54,SS,Oneil Cruz,PIT,JLIU,Feb 28, 2024 7:32:12
*02btx*,4,7,55,SP,Tyler Glasnow,LAD,DAVE,Feb 28, 2024 7:32:15
*05gbf*,4,8,56,OF,Jordan Walker,STL,TFLA,Feb 28, 2024 8:09:26
*04ptt*,4,9,57,SP,Tarik Skubal,DET,WGMO,Feb 28, 2024 9:10:56
*04pks*,4,10,58,SS,Matt McLain,CIN,JAGO,Feb 29, 2024 3:04:03
*041q6*,4,11,59,OF,Nolan Jones,COL,GMK,Feb 29, 2024 7:31:59
*01svq*,4,12,60,3B,Manny Machado,SD,CLIU,Feb 29, 2024 9:57:21
*01s8u*,4,13,61,OF,Mike Trout,LAA,CHIP,Feb 29, 2024 10:01:52
*05gwz*,4,14,62,SP,Bobby Miller,LAD,JH,Feb 29, 2024 10:04:48
*042sz*,4,15,63,C,Will Smith,LAD,JTTA,Feb 29, 2024 11:56:29
*045qo*,4,16,64,OF,Jazz Chisholm Jr.,MIA,KLIU,Feb 29, 2024 11:59:56
*03dc4*,5,1,65,SP,Freddy Peralta,MIL,ACP,Feb 29, 2024 2:55:13
*04de1*,5,2,66,1B,Triston Casas,BOS,TC,Feb 29, 2024 3:02:22
*04auj*,5,3,67,SP,Framber Valdez,HOU,LB,Feb 29, 2024 3:02:26
*05xch*,5,4,68,3B,Junior Caminero,TB,PAN,Feb 29, 2024 3:50:50
*041ma*,5,5,69,SP,Cole Ragans,KC,MLAM,Feb 29, 2024 6:51:05
*04qk8*,5,6,70,SS,CJ Abrams,WSH,JLIU,Feb 29, 2024 7:04:28
*01ual*,5,7,71,1B,Paul Goldschmidt,STL,DAVE,Feb 29, 2024 9:33:52
*04pko*,5,8,72,SP,Grayson Rodriguez,BAL,TFLA,Feb 29, 2024 9:38:38
*04pkr*,5,9,73,2B,Nico Hoerner,CHC,WGMO,Feb 29, 2024 11:20:46
*041r1*,5,10,74,SP,Jesus Luzardo,MIA,JAGO,Mar 1, 2024 3:20:58
*02w7p*,5,11,75,3B,Alex Bregman,HOU,GMK,Mar 1, 2024 7:00:01
*04yk2*,5,12,76,1B,Spencer Torkelson,DET,CLIU,Mar 1, 2024 10:19:17
*05wru*,5,13,77,SP,Paul Skenes,PIT,CHIP,Mar 1, 2024 10:50:04
*0311c*,5,14,78,RP,Devin Williams,MIL,JH,Mar 1, 2024 10:58:13
*04n0m*,5,15,79,SP,Logan Gilbert,SEA,JTTA,Mar 1, 2024 11:17:43
*05y23*,5,16,80,SP,Tanner Bibee,CLE,KLIU,Mar 1, 2024 11:32:21
*05ajg*,6,1,81,SS,Ha-seong Kim,SD,KLIU,Mar 1, 2024 11:34:16
*025dn*,6,2,82,OF,Christian Yelich,MIL,JTTA,Mar 1, 2024 11:38:33
*03e5m*,6,3,83,OF,Bryan Reynolds,PIT,JH,Mar 1, 2024 11:44:53
*031t0*,6,4,84,2B,Gleyber Torres,NYY,CHIP,Mar 1, 2024 12:00:38
*02i2j*,6,5,85,SP,Max Fried,ATL,CLIU,Mar 1, 2024 2:21:45
*03yrz*,6,6,86,C,William Contreras,MIL,GMK,Mar 1, 2024 2:26:46
*04nb2*,6,7,87,OF,Riley Greene,DET,JAGO,Mar 1, 2024 2:29:25
*041ah*,6,8,88,OF,Josh Lowe,TB,WGMO,Mar 1, 2024 3:11:40
*04y44*,6,9,89,3B,Josh Jung,TEX,TFLA,Mar 1, 2024 3:25:16
*02bqr*,6,10,90,SP,Blake Snell,(N/A),DAVE,Mar 1, 2024 6:25:32
*04ps7*,6,11,91,SP,Joe Ryan,MIN,JLIU,Mar 1, 2024 6:27:40
*04a2t*,6,12,92,SP,Kodai Senga,NYM,MLAM,Mar 1, 2024 6:27:44
*02mwq*,6,13,93,SP,Zach Eflin,TB,PAN,Mar 1, 2024 7:14:37
*01sy3*,6,14,94,3B,Nolan Arenado,STL,LB,Mar 1, 2024 7:17:36
*04y9p*,6,15,95,SS,Anthony Volpe,NYY,TC,Mar 1, 2024 7:41:18
*0512e*,6,16,96,1B,Spencer Steer,CIN,ACP,Mar 1, 2024 7:43:55
*03aac*,7,1,97,SP,Walker Buehler,LAD,ACP,Mar 1, 2024 7:44:47
*04apj*,7,2,98,RP,Jhoan Duran,MIN,TC,Mar 1, 2024 8:00:47
*03df2*,7,3,99,SP,Dylan Cease,SD,LB,Mar 1, 2024 11:00:59
*0326s*,7,4,100,2B,Ketel Marte,ARI,PAN,Mar 2, 2024 1:38:27
*03deg*,7,5,101,SP,Justin Steele,CHC,MLAM,Mar 2, 2024 11:03:55
*05ub0*,7,6,102,2B,Zack Gelof,OAK,JLIU,Mar 2, 2024 11:05:53
*04pq4*,7,7,103,SP,Kyle Bradish,BAL,DAVE,Mar 2, 2024 11:05:57
*02my5*,7,8,104,RP,Edwin Diaz,NYM,TFLA,Mar 2, 2024 12:46:46
*04aea*,7,9,105,SP,Hunter Greene,CIN,WGMO,Mar 2, 2024 1:40:14
*04ug5*,7,10,106,RP,Emmanuel Clase,CLE,JAGO,Mar 2, 2024 1:48:57
*04k0w*,7,11,107,RP,Camilo Doval,SF,GMK,Mar 2, 2024 2:59:15
*02n96*,7,12,108,RP,Josh Hader,HOU,CLIU,Mar 2, 2024 3:51:05
*04qnd*,7,13,109,3B,Noelvi Marte,CIN,CHIP,Mar 2, 2024 4:35:33
*04p10*,7,14,110,2B,Bryson Stott,PHI,JH,Mar 2, 2024 4:37:20
*02bqy*,7,15,111,SP,Joe Musgrove,SD,JTTA,Mar 2, 2024 6:37:40
*02mzg*,7,16,112,3B,Max Muncy,LAD,KLIU,Mar 2, 2024 6:38:13
*02mwk*,8,1,113,SP,Jose Berrios,TOR,KLIU,Mar 2, 2024 6:38:29
*0596e*,8,2,114,OF,Dylan Crews,WSH,JTTA,Mar 2, 2024 6:48:24
*05ucd*,8,3,115,SP,Mason Miller,OAK,JH,Mar 2, 2024 6:51:25
*03d7h*,8,4,116,SP,Mitch Keller,PIT,CHIP,Mar 2, 2024 7:26:41
*025i9*,8,5,117,C,J.T. Realmuto,PHI,CLIU,Mar 2, 2024 8:55:19
*03pjd*,8,6,118,1B,Josh Naylor,CLE,GMK,Mar 2, 2024 8:55:57
*05184*,8,7,119,1B,Vinnie Pasquantino,KC,JAGO,Mar 2, 2024 8:56:08
*05ua7*,8,8,120,SS,Jackson Merrill,SD,WGMO,Mar 2, 2024 10:04:29
*045kb*,8,9,121,SP,Cristian Javier,HOU,TFLA,Mar 2, 2024 11:22:52
*025gb*,8,10,122,SS,Xander Bogaerts,SD,DAVE,Mar 3, 2024 4:29:40
*05xor*,8,11,123,1B,Christian Encarnacion-Strand,CIN,JLIU,Mar 3, 2024 8:04:36
*02mw3*,8,12,124,1B,Christian Walker,ARI,MLAM,Mar 3, 2024 8:04:40
*05jp7*,8,13,125,SP,Gavin Williams,CLE,PAN,Mar 3, 2024 8:14:37
*0260v*,8,14,126,SP,Sonny Gray,STL,LB,Mar 3, 2024 8:14:40
*0425t*,8,15,127,SP,Bailey Ober,MIN,TC,Mar 3, 2024 8:41:17
*04psu*,8,16,128,OF,James Outman,LAD,ACP,Mar 3, 2024 8:42:28
*04my4*,9,1,129,C,Cal Raleigh,SEA,ACP,Mar 3, 2024 8:44:19
*05vy6*,9,2,130,SP,Bryce Miller,SEA,TC,Mar 3, 2024 8:52:28
*01uc9*,9,3,131,OF,Nick Castellanos,PHI,LB,Mar 3, 2024 8:52:56
*04b02*,9,4,132,OF,Seiya Suzuki,CHC,PAN,Mar 3, 2024 9:23:52
*025he*,9,5,133,OF,George Springer,TOR,MLAM,Mar 3, 2024 9:23:55
*05y62*,9,6,134,SP,Bryan Woo,SEA,JLIU,Mar 3, 2024 10:09:39
*03dei*,9,7,135,OF,Lane Thomas,WSH,DAVE,Mar 3, 2024 11:01:11
*05144*,9,8,136,SP,Hunter Brown,HOU,TFLA,Mar 3, 2024 11:58:37
*0524l*,9,9,137,C,Yainer Diaz,HOU,WGMO,Mar 3, 2024 12:55:53
*04mn5*,9,10,138,3B,Alec Bohm,PHI,JAGO,Mar 3, 2024 1:21:35
*03dbo*,9,11,139,SP,Jordan Montgomery,(N/A),GMK,Mar 3, 2024 1:30:04
*04ai4*,9,12,140,2B,Nolan Gorman,STL,CLIU,Mar 3, 2024 2:15:57
*04pt2*,9,13,141,OF,Lars Nootbaar,STL,CHIP,Mar 3, 2024 2:21:38
*05jrh*,9,14,142,3B,Colt Keith,DET,JH,Mar 3, 2024 2:25:11
*04aqc*,9,15,143,RP,David Bednar,PIT,JTTA,Mar 3, 2024 3:08:55
*0406v*,9,16,144,OF,Esteury Ruiz,OAK,KLIU,Mar 3, 2024 3:09:26
*04pr1*,10,1,145,OF,Steven Kwan,CLE,KLIU,Mar 3, 2024 3:11:41
*03pzn*,10,2,146,2B,Andres Gimenez,CLE,JTTA,Mar 3, 2024 3:21:51
*03di6*,10,3,147,RP,Jordan Romano,TOR,JH,Mar 3, 2024 3:25:48
*03qqf*,10,4,148,RP,Alexis Diaz,CIN,CHIP,Mar 3, 2024 3:37:43
*03ae8*,10,5,149,SS,Dansby Swanson,CHC,CLIU,Mar 3, 2024 4:42:06
*02w16*,10,6,150,OF,Anthony Santander,BAL,GMK,Mar 3, 2024 4:42:37
*041rf*,10,7,151,SP,Shane Bieber,CLE,JAGO,Mar 3, 2024 4:53:12
*05js3*,10,8,152,SP,Kyle Harrison,SF,WGMO,Mar 3, 2024 5:07:29
*03aay*,10,9,153,2B,Thairo Estrada,SF,TFLA,Mar 3, 2024 5:35:17
*03qr0*,10,10,154,OF,Cedric Mullins,BAL,DAVE,Mar 3, 2024 5:51:11
*04qnc*,10,11,155,C,Francisco Alvarez,NYM,JLIU,Mar 3, 2024 7:01:46
*03aqv*,10,12,156,RP,Raisel Iglesias,ATL,MLAM,Mar 3, 2024 7:05:29
*02hjp*,10,13,157,SP,Jacob deGrom,TEX,PAN,Mar 3, 2024 8:27:03
*02i11*,10,14,158,OF,Jorge Soler,SF,LB,Mar 3, 2024 11:27:19
*051dl*,10,15,159,2B,Edouard Julien,MIN,TC,Mar 3, 2024 11:46:50
*04mra*,10,16,160,SS,Ezequiel Tovar,COL,ACP,Mar 4, 2024 8:10:22
*03pon*,11,1,161,SP,Triston McKenzie,CLE,ACP,Mar 4, 2024 10:15:33
*051em*,11,2,162,OF,Kerry Carpenter,DET,TC,Mar 4, 2024 10:33:23
*01usi*,11,3,163,UT,Marcell Ozuna,ATL,LB,Mar 4, 2024 10:49:50
*041wv*,11,4,164,RP,Michael King,SD,PAN,Mar 4, 2024 11:29:28
*03atq*,11,5,165,SS,Willy Adames,MIL,MLAM,Mar 4, 2024 12:11:06
*050c3*,11,6,166,OF,Jasson Dominguez,NYY,JLIU,Mar 4, 2024 12:12:33
*02xic*,11,7,167,OF,Teoscar Hernandez,LAD,DAVE,Mar 4, 2024 12:55:31
*04t40*,11,8,168,SP,Brayan Bello,BOS,TFLA,Mar 4, 2024 2:34:10
*05lg3*,11,9,169,SP,Brandon Pfaadt,ARI,WGMO,Mar 4, 2024 4:12:35
*0403o*,11,10,170,RP,Andres Munoz,SEA,JAGO,Mar 4, 2024 4:26:24
*05m49*,11,11,171,OF,Jung Hoo Lee,SF,GMK,Mar 4, 2024 4:29:11
*04azv*,11,12,172,3B,Jake Burger,MIA,CLIU,Mar 4, 2024 6:00:04
*03nmw*,11,13,173,OF,Ian Happ,CHC,CHIP,Mar 4, 2024 6:09:46
*02i2q*,11,14,174,SS,Carlos Correa,MIN,JH,Mar 4, 2024 6:47:26
*05rc3*,11,15,175,OF,Masataka Yoshida,BOS,JTTA,Mar 4, 2024 6:50:49
*04071*,11,16,176,3B,Isaac Paredes,TB,KLIU,Mar 4, 2024 6:51:39
*04efa*,12,1,177,OF,Daulton Varsho,TOR,KLIU,Mar 4, 2024 6:55:20
*02bq2*,12,2,178,OF,Brandon Nimmo,NYM,JTTA,Mar 4, 2024 7:01:55
*041ai*,12,3,179,2B,Gavin Lux,LAD,JH,Mar 4, 2024 7:02:24
*02c2h*,12,4,180,SP,Chris Bassitt,TOR,CHIP,Mar 4, 2024 8:07:42
*01uca*,12,5,181,SP,Chris Sale,ATL,CLIU,Mar 4, 2024 9:21:09
*02i37*,12,6,182,SP,Lucas Giolito,BOS,GMK,Mar 4, 2024 9:32:03
*04esz*,12,7,183,OF,Chas McCormick,HOU,JAGO,Mar 4, 2024 10:13:19
*041xv*,12,8,184,1B,Nathaniel Lowe,TEX,WGMO,Mar 4, 2024 11:00:00
*05jq2*,12,9,185,SP,Andrew Abbott,CIN,TFLA,Mar 4, 2024 11:13:10
*02hj7*,12,10,186,SP,Merrill Kelly,ARI,DAVE,Mar 5, 2024 10:13:36
*02c2r*,12,11,187,SP,Carlos Rodon,NYY,JLIU,Mar 5, 2024 10:15:34
*041e3*,12,12,188,SP,Braxton Garrett,MIA,MLAM,Mar 5, 2024 11:51:25
*03m6o*,12,13,189,1B,Yandy Diaz,TB,PAN,Mar 5, 2024 12:53:09
*045gu*,12,14,190,OF,TJ Friedl,CIN,LB,Mar 5, 2024 1:24:31
*05ge9*,12,15,191,SP,Shota Imanaga,CHC,TC,Mar 5, 2024 1:42:11
*03qto*,12,16,192,RP,Evan Phillips,LAD,ACP,Mar 5, 2024 4:42:26
*03bin*,13,1,193,SP,Nestor Cortes Jr.,NYY,ACP,Mar 5, 2024 4:42:27
*04pst*,13,2,194,OF,Jarren Duran,BOS,TC,Mar 5, 2024 4:46:18
*02jh6*,13,3,195,3B,Eugenio Suarez,ARI,LB,Mar 5, 2024 4:47:52
*0512m*,13,4,196,RP,Ryan Pepiot,TB,PAN,Mar 5, 2024 4:59:51
*041sq*,13,5,197,SS,Tommy Edman,STL,MLAM,Mar 5, 2024 5:16:19
*04pbp*,13,6,198,2B,Christopher Morel,CHC,JLIU,Mar 5, 2024 5:47:02
*000dp*,13,7,199,SP,Justin Verlander,HOU,DAVE,Mar 5, 2024 5:47:06
*03rmz*,13,8,200,C,Keibert Ruiz,WSH,TFLA,Mar 5, 2024 6:04:23
*05r1m*,13,9,201,SS,Jordan Lawlar,ARI,WGMO,Mar 5, 2024 7:22:01
*0596g*,13,10,202,SP,Reid Detmers,LAA,JAGO,Mar 5, 2024 7:22:26
*029si*,13,11,203,SP,Eduardo Rodriguez,ARI,GMK,Mar 5, 2024 7:32:18
*04ggr*,13,12,204,OF,Jarred Kelenic,ATL,CLIU,Mar 5, 2024 7:47:24
*0316j*,13,13,205,SP,Nick Pivetta,BOS,CHIP,Mar 5, 2024 8:11:02
*02bx4*,13,14,206,RP,Clay Holmes,NYY,JH,Mar 5, 2024 8:16:01
*03pji*,13,15,207,3B,Ke'Bryan Hayes,PIT,JTTA,Mar 5, 2024 8:18:19
*01c5l*,13,16,208,SP,Yu Darvish,SD,KLIU,Mar 5, 2024 8:23:23
*05yj1*,14,1,209,1B,Nolan Schanuel,LAA,KLIU,Mar 5, 2024 8:24:44
*04cwf*,14,2,210,SP,Shane Baz,TB,JTTA,Mar 5, 2024 8:47:42
*04cd5*,14,3,211,SP,MacKenzie Gore,WSH,JH,Mar 5, 2024 8:49:08
*04q56*,14,4,212,C,Logan O'Hoppe,LAA,CHIP,Mar 5, 2024 9:01:42
*03de9*,14,5,213,1B,Rhys Hoskins,MIL,CLIU,Mar 5, 2024 9:57:10
*0310z*,14,6,214,SS,J.P. Crawford,SEA,GMK,Mar 5, 2024 9:57:32
*03mew*,14,7,215,2B,Luis Arraez,MIA,JAGO,Mar 6, 2024 12:39:23
*05rb0*,14,8,216,SP,Jackson Jobe,DET,WGMO,Mar 6, 2024 9:43:18
*04si2*,14,9,217,1B,Andrew Vaughn,CHW,TFLA,Mar 6, 2024 9:58:33
*03aoy*,14,10,218,C,Sean Murphy,ATL,DAVE,Mar 6, 2024 12:44:50
*041z2*,14,11,219,OF,Jack Suwinski,PIT,JLIU,Mar 6, 2024 12:46:29
*02n2x*,14,12,220,RP,Paul Sewald,ARI,MLAM,Mar 6, 2024 1:37:40
*03ql5*,14,13,221,RP,Ryan Helsley,STL,PAN,Mar 6, 2024 2:23:29
*01ut7*,14,14,222,SP,Nathan Eovaldi,TEX,LB,Mar 6, 2024 2:24:02
*04mrn*,14,15,223,C,Bo Naylor,CLE,TC,Mar 6, 2024 2:26:39
*026lz*,14,16,224,1B,Josh Bell,MIA,ACP,Mar 6, 2024 4:38:26
*02iug*,15,1,225,SP,Michael Wacha,KC,ACP,Mar 6, 2024 4:49:58
*04pr8*,15,2,226,SP,Taj Bradley,TB,TC,Mar 6, 2024 4:55:47
*02bqh*,15,3,227,SS,Trevor Story,BOS,LB,Mar 6, 2024 4:56:27
*03qo0*,15,4,228,RP,Pete Fairbanks,TB,PAN,Mar 6, 2024 5:03:00
*031cd*,15,5,229,C,Mitch Garver,SEA,MLAM,Mar 6, 2024 5:18:20
*05js6*,15,6,230,SP,Ricky Tiedemann,TOR,JLIU,Mar 6, 2024 5:36:49
*030ud*,15,7,231,UT,Eloy Jimenez,CHW,DAVE,Mar 6, 2024 5:56:26
*05ybr*,15,8,232,C,Ethan Salas,SD,TFLA,Mar 6, 2024 6:59:21
*05gww*,15,9,233,SP,Cade Horton,CHC,WGMO,Mar 6, 2024 8:58:54
*03oh0*,15,10,234,C,Willson Contreras,STL,JAGO,Mar 6, 2024 8:59:09
*052c8*,15,11,235,SP,Cristopher Sanchez,PHI,GMK,Mar 6, 2024 9:54:07
*03aqz*,15,12,236,RP,Adbert Alzolay,CHC,CLIU,Mar 7, 2024 12:13:30
*041ps*,15,13,237,SP,Nick Lodolo,CIN,CHIP,Mar 7, 2024 8:17:23
*031b2*,15,14,238,C,Jonah Heim,TEX,JH,Mar 7, 2024 8:21:29
*02i2k*,15,15,239,UT,Byron Buxton,MIN,JTTA,Mar 7, 2024 8:26:52
*03qpi*,15,16,240,SP,Patrick Sandoval,LAA,KLIU,Mar 7, 2024 9:03:40
*05rch*,16,1,241,SS,Colson Montgomery,CHW,KLIU,Mar 7, 2024 9:04:03
*05gsc*,16,2,242,2B,Jordan Westburg,BAL,JTTA,Mar 7, 2024 9:59:42
*05oxc*,16,3,243,OF,Henry Davis,PIT,JH,Mar 7, 2024 10:00:39
*060la*,16,4,244,SS,Jett Williams,NYM,CHIP,Mar 7, 2024 10:03:35
*041yb*,16,5,245,SP,Dean Kremer,BAL,CLIU,Mar 7, 2024 11:19:00
*03pje*,16,6,246,OF,Taylor Ward,LAA,GMK,Mar 7, 2024 11:24:32
*05xu5*,16,7,247,SS,Zach Neto,LAA,JAGO,Mar 7, 2024 12:04:09
*05g3x*,16,8,248,3B,Maikel Garcia,KC,WGMO,Mar 7, 2024 12:56:08
*03btv*,16,9,249,SP,Sandy Alcantara,MIA,TFLA,Mar 7, 2024 1:19:22
*02334*,16,10,250,UT,J.D. Martinez,(N/A),DAVE,Mar 7, 2024 1:24:54
*02z93*,16,11,251,SP,Kenta Maeda,DET,JLIU,Mar 7, 2024 1:45:46
*04tlv*,16,12,252,RP,Bryan Abreu,HOU,MLAM,Mar 7, 2024 2:38:17
*05rat*,16,13,253,OF,James Wood,WSH,PAN,Mar 7, 2024 2:57:54
*04ppj*,16,14,254,SS,Jeremy Pena,HOU,LB,Mar 7, 2024 4:21:28
*05rb1*,16,15,255,OF,Sal Frelick,MIL,TC,Mar 7, 2024 4:33:16
*0310n*,16,16,256,3B,Ryan McMahon,COL,ACP,Mar 7, 2024 4:33:42
*02hg4*,17,1,257,SP,Marcus Stroman,NYY,ACP,Mar 7, 2024 4:33:47
*04ep8*,17,2,258,RP,Kutter Crawford,BOS,TC,Mar 7, 2024 4:35:19
*02zif*,17,3,259,RP,Ryan Pressly,HOU,LB,Mar 7, 2024 4:37:12
*04mlt*,17,4,260,SP,Shane McClanahan,TB,PAN,Mar 7, 2024 5:00:42
*05r3i*,17,5,261,SP,Andrew Painter,PHI,MLAM,Mar 7, 2024 5:07:23
*04eek*,17,6,262,SP,Griffin Canning,LAA,JLIU,Mar 7, 2024 5:36:37
*005jn*,17,7,263,SP,Charlie Morton,ATL,DAVE,Mar 7, 2024 5:37:30
*05rc5*,17,8,264,2B,Termarr Johnson,PIT,TFLA,Mar 7, 2024 5:49:03
*05js5*,17,9,265,3B,Coby Mayo,BAL,WGMO,Mar 7, 2024 7:17:45
*04nx3*,17,10,266,2B,Jonathan India,CIN,JAGO,Mar 7, 2024 7:17:54
*05uy5*,17,11,267,SP,AJ Smith-Shawver,ATL,GMK,Mar 7, 2024 7:28:39
*03qjy*,17,12,268,2B,Brandon Lowe,TB,CLIU,Mar 7, 2024 8:09:44
*027fx*,17,13,269,1B,Jeimer Candelario,CIN,CHIP,Mar 7, 2024 8:14:53
*04yi8*,17,14,270,OF,Spencer Jones,NYY,JH,Mar 7, 2024 8:16:06
*0603p*,17,15,271,SP,Hurston Waldrep,ATL,JTTA,Mar 7, 2024 10:11:53
*05u2u*,17,16,272,2B,Tyler Black,MIL,KLIU,Mar 7, 2024 10:12:13
*03avk*,18,1,273,2B,Luis Rengifo,LAA,KLIU,Mar 7, 2024 10:12:17
*01sea*,18,2,274,1B,Anthony Rizzo,NYY,JTTA,Mar 7, 2024 10:15:06
*04e2u*,18,3,275,OF,Brent Rooker,OAK,JH,Mar 7, 2024 10:25:18
*02yk4*,18,4,276,OF,Tyler O'Neill,BOS,CHIP,Mar 7, 2024 10:29:51
*039vx*,18,5,277,OF,Jose Siri,TB,CLIU,Mar 7, 2024 11:36:57
*05gwy*,18,6,278,SS,Masyn Winn,STL,GMK,Mar 8, 2024 7:32:00
*05rbv*,18,7,279,C,Samuel Basallo,BAL,JAGO,Mar 8, 2024 7:43:02
*05ras*,18,8,280,OF,Colton Cowser,BAL,WGMO,Mar 8, 2024 9:43:21
*04ali*,18,9,281,SP,Edward Cabrera,MIA,TFLA,Mar 8, 2024 9:54:29
*01scl*,18,10,282,RP,Craig Kimbrel,BAL,DAVE,Mar 8, 2024 10:01:58
*041qr*,18,11,283,SP,Aaron Civale,TB,JLIU,Mar 8, 2024 10:41:36
*04ml0*,18,12,284,SP,Yusei Kikuchi,TOR,MLAM,Mar 8, 2024 12:24:59
*05y2l*,18,13,285,SP,Emmet Sheehan,LAD,PAN,Mar 8, 2024 12:35:02
*04ee7*,18,14,286,SP,Clarke Schmidt,NYY,LB,Mar 8, 2024 3:12:18
*05rfu*,18,15,287,1B,Kyle Manzardo,CLE,TC,Mar 8, 2024 3:15:00
